player,player_handle,season_from,season_to,team_from,team_from_name,team_to,team_to_name,has_transaction,player_match_score,txn_player_matched,txn_date,txn_type,txn_team_raw,txn_team_abbrev,team_abbrev_match,txn_raw,near_miss_player,near_miss_score,near_miss_date,near_miss_raw
Kurt Anger,whambamshangalang,3,6,KYM,Kentucky Mashers,SUN,Sunnydale Slayers,Y,1.0,whambamshangalang,2021-04-28,draft,Cuba,CAR,N,":cuba: With the 53rd overall pick in the WNC draft, Cuba selects @whambamshangalang",,,,
Kurt Anger,whambamshangalang,6,7,SUN,Sunnydale Slayers,KYM,Kentucky Mashers,Y,1.0,whambamshangalang,2021-04-28,draft,Cuba,CAR,Y,":cuba: With the 53rd overall pick in the WNC draft, Cuba selects @whambamshangalang",,,,
Kurt Anger,whambamshangalang,7,9,KYM,Kentucky Mashers,MIA,Miami Fuego,Y,1.0,SS Kurt Anger,2023-05-03,sign,miami,MIA,Y,:miami: sign SS **Kurt Anger**,,,,
Kyuss Kosades,,10,11,GHG,Gas House Gorillas,MIA,Miami Fuego,Y,1.0,Kyuss Kosades,2024-01-27,draft,GHG Gas House Gorillas,GHG,N,"With the 18th overall pick in the S10 MLN Draft, the :GHG:  *Gas House Gorillas* select P **Kyuss Kosades**",,,,
Kyuss Kosades,,11,12,MIA,Miami Fuego,GHG,Gas House Gorillas,Y,1.0,P Kyuss Kosades,2025-11-22,sign,GHG,GHG,Y,"Huh. This channel still exists. Guess there should be an update.

__**AUGUST**__

:CAR: Carolina Reapers sign RF **Ricky",,,,
LaCarpetron Dukemarriot,,7,8,SMD,Sopher McDophers,CAR,Carolina Reapers,Y,1.0,P LaCarpetron Dukemarriot,2022-08-27,sign,Carolina Reapers,CAR,Y,:Reapers: Carolina Reapers sign P **LaCarpetron Dukemarriot**,,,,
Lance Lummoxx,,1,2,ACP,Acadia Peregrines,SMD,Sopher McDophers,N,0.462,Magic Simmons,2019-07-23,draft,Ursa Major Grizzlies,,N,With the 39th pick the Ursa Major Grizzlies select Magic Simmons,Magic Simmons,0.462,2019-07-23,With the 39th pick the Ursa Major Grizzlies select Magic Simmons
LaPrince Frye,,4,9,CIN,Cincinnati Longhorns,MIA,Miami Fuego,Y,1.0,P LaPrince Frye,2023-05-24,sign,miami,MIA,Y,:miami: sign P **LaPrince Frye**,,,,
Larold,,5,6,POR,Portland Pioneers,OO,Oslo Otters,Y,1.0,Larold (Fake Larry!),2020-09-26,draft,Portland Pioneers,POR,N,"With the 11th overall pick in the S5 Draft, the Portland Pioneers select @Larold  (Fake Larry!)",,,,
Larry Longshot,,3,4,SUN,Sunnydale Slayers,ACP,Acadia Peregrines,N,0.48,Cam'ron West,2020-06-09,sign,FlappyBois,,N,:FlappyBois: sign Cam'ron West,Cam'ron West,0.48,2020-06-09,:FlappyBois: sign Cam'ron West
Lawrence Wiseman,,1,2,SMD,Sopher McDophers,CIN,Cincinnati Longhorns,N,0.429,Deleted User,2018-12-02,draft,Sleepy Hollow Horsemen,,N,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User",Deleted User,0.429,2018-12-02,"With the twenty eighth pick in the Season 2 Draft, the Sleepy Hollow Horsemen select @Deleted User"
Lazer Dave,,8,9,SMD,Sopher McDophers,SUN,Sunnydale Slayers,Y,1.0,Lazer Dave,2023-04-19,draft,Prisoners of Azerbaijan,POR,N,"🇦🇿 With the 53rd overall pick in the WNC draft, the Prisoners of Azerbaijan select **RF Lazer Dave**",,,,
Lee Allen Ripley,,1,6,OAK,Alemeda Originals,ASS,Aruba Sea Serpents,N,0.519,Alex “Big Champion” Yaxley 💍,2021-04-28,draft,San Marino,,N,":sanmarino: With the 16th overall pick in the WNC draft, San Marino selects @Alex “Big Champion” Yaxley 💍",Alex “Big Champion” Yaxley 💍,0.519,2021-04-28,":sanmarino: With the 16th overall pick in the WNC draft, San Marino selects @Alex “Big Champion” Yaxley 💍"
Lee Luda,,10,11,CAR,Carolina Reapers,ACP,Acadia Peregrines,Y,1.0,2B/UTIL Lee Luda,2024-10-01,sign,Acadia Peregrines,ACP,Y,:ACP: Acadia Peregrines sign 2B/UTIL **Lee Luda**,,,,
Lefty Louis,lefty louis - s3 gl mvp,8,10,SUN,Sunnydale Slayers,REK,Reykjavik Valkyries,Y,1.0,1B/UTIL Lefty Louis,2024-01-22,sign,Reykjavik Valkyries,REK,Y,:Valkyries: Reykjavik Valkyries sign 1B/UTIL **Lefty Louis**,,,,
Lincoln Crawford,chris88,3,4,POR,Portland Pioneers,NO,New Orleans Crawdads,Y,0.821,Lincoln Crawford 1B/UTIL,2020-04-20,sign,nola,NO,Y,:nola: sign Lincoln Crawford 1B/UTIL,,,,
Lincoln Crawford,chris88,8,9,NO,New Orleans Crawdads,MIA,Miami Fuego,Y,1.0,First Baseman Lincoln Crawford,2022-01-18,sign,Sunnydale Slayers,SUN,N,:slayers: Sunnydale Slayers sign First Baseman **Lincoln Crawford**,,,,
Loghan O'Brien,moosey,3,4,SUN,Sunnydale Slayers,POR,Portland Pioneers,Y,1.0,Loghan O'Brien,2020-09-21,sign,Buff,BUF,N,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",,,,
Loghan O'Brien,moosey,4,5,POR,Portland Pioneers,BUF,Buffalo Bullfrogs,Y,1.0,Loghan O'Brien,2020-09-21,sign,Buff,BUF,Y,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",,,,
Mack Quackerson,,9,10,POR,Portland Pioneers,ACP,Acadia Peregrines,Y,1.0,Mack Quackerson,2024-01-27,draft,ACP Acadia Peregrines,ACP,Y,"With the 5th overall pick in the S10 MLN Draft, the :ACP: *Acadia Peregrines* select C/COF **Mack Quackerson**",,,,
Mad Monty,mad_monty,1,3,MAL,Malibu Waverunners,BBG,Baldur's Gate Beholders,N,0.6,Maud Nelson,2018-12-02,draft,Henrik Omegas,,N,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson",Maud Nelson,0.6,2018-12-02,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson"
Magic Simmons,,1,2,VAN,Vancouver Vampires,CIN,Cincinnati Longhorns,Y,1.0,Magic Simmons,2019-07-23,draft,Ursa Major Grizzlies,GRZ,N,With the 39th pick the Ursa Major Grizzlies select Magic Simmons,,,,
Magic Simmons,,2,3,CIN,Cincinnati Longhorns,BBG,Baldur's Gate Beholders,Y,1.0,Magic Simmons,2019-07-23,draft,Ursa Major Grizzlies,GRZ,N,With the 39th pick the Ursa Major Grizzlies select Magic Simmons,,,,
Makesiondon Kelkboom,,6,9,ASS,Aruba Sea Serpents,MIA,Miami Fuego,Y,1.0,3B Makesiondon Kelkboom,2023-05-03,sign,miami,MIA,Y,:miami: sign 3B **Makesiondon Kelkboom**,,,,
Mama Luigi,,9,11,ACP,Acadia Peregrines,GHG,Gas House Gorillas,Y,1.0,2B/UTIL Mama Luigi,2023-09-15,sign,ACP,ACP,N,:ACP: sign 2B/UTIL** Mama Luigi**,,,,
Master Cashier,cash - just a player,1,2,MAL,Malibu Waverunners,SUN,Sunnydale Slayers,Y,1.0,Master Cashier,2018-11-28,sign,The Sunnydale Slayers,SUN,Y,The Sunnydale Slayers sign Master Cashier,,,,
Master Cashier,cash - just a player,11,12,SUN,Sunnydale Slayers,SMD,Sopher McDophers,Y,1.0,RF Master Cashier,2025-08-02,sign,Sopher McDophers,SMD,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Matt Himynamis,hi_mynameis_matt,7,10,POR,Portland Pioneers,MIA,Miami Fuego,Y,1.0,P Matt Himynamis,2024-04-27,sign,Miami Fuego,MIA,Y,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talo",,,,
Matthew Longballo,,6,7,HFX,Halifax Helmsmen,NO,New Orleans Crawdads,Y,1.0,Pitcher Matthew Longballo,2022-01-18,sign,Baldur's Gate Beholders,BBG,N,:BBG: Baldur's Gate Beholders sign Pitcher **Matthew Longballo**,,,,
Mattress,fearthebeardbruh,6,7,SUN,Sunnydale Slayers,ASS,Aruba Sea Serpents,Y,1.0,Second Baseman Mattress,2022-01-23,sign,Aruba Sea Serpents,ASS,Y,:Serpents: Aruba Sea Serpents sign Second Baseman **Mattress**,,,,
Maud Nelson,maud nelson,2,3,REK,Reykjavik Valkyries,BBG,Baldur's Gate Beholders,Y,1.0,Maud Nelson,2018-12-02,draft,Henrik Omegas,SMD,N,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson",,,,
Maurice Cheeks,,9,10,ACP,Acadia Peregrines,RC,Raccoon City Outbreak,Y,1.0,P Maurice Cheeks,2024-01-28,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign P **Maurice Cheeks**,,,,
Meat Wad,,10,11,GRZ,Ursa Major Grizzlies,SMD,Sopher McDophers,Y,1.0,CF Meat Wad,2024-10-01,sign,Sopher McDophers,SMD,Y,:SMD:Sopher McDophers sign CF **Meat Wad**,,,,
Meerkat Preller,"meerkat ""timmons aj"" preller",10,11,CAR,Carolina Reapers,GHG,Gas House Gorillas,Y,1.0,Meerkat Preller,2024-10-01,release,Carolina Reapers,CAR,N,":RC: Raccoon City Outbreak release C/CINF **Derek Bongiovanni**
:RC: Raccoon City Outbreak P **Vis Pacifiera** retires
:",,,,
Mickey May,,8,9,GRZ,Ursa Major Grizzlies,MIA,Miami Fuego,Y,1.0,Mickey May,2023-04-19,draft,Prisoners of Azerbaijan,POR,N,"🇦🇿 With the 17th overall pick in the WNC draft, the Prisoners of Azerbaijan select **P Mickey May**",,,,
Mike Fruitstand,mike fruitstand,5,7,POR,Portland Pioneers,GHG,Gas House Gorillas,Y,1.0,Second Baseman Mike Fruitstand,2022-01-24,sign,Gas House Gorillas,GHG,Y,:Gorillas: Gas House Gorillas sign Second Baseman **Mike Fruitstand**,,,,
Miss Bats,,1,2,CIN,Cincinnati Longhorns,ACP,Acadia Peregrines,N,0.5,Famous Anus,2018-12-02,draft,Henrik Omegas,,N,"With the forty third pick in the Season 2 Draft, the Henrik Omegas select @Famous Anus",Famous Anus,0.5,2018-12-02,"With the forty third pick in the Season 2 Draft, the Henrik Omegas select @Famous Anus"
Mitch Meanmug,mitch meanmug,7,8,BUF,Buffalo Bullfrogs,ASS,Aruba Sea Serpents,Y,1.0,P Mitch Meanmug,2022-08-27,sign,Aruba Sea Serpents,ASS,Y,:SeaSerpents: Aruba Sea Serpents sign P **Mitch Meanmug**,,,,
Mitch Meanmug,mitch meanmug,8,9,ASS,Aruba Sea Serpents,CAR,Carolina Reapers,Y,1.0,Mitch Meanmug,2023-04-19,draft,Seychelles Sea Shells,KYM,Y,"🇸🇨 With the 74th overall pick in the WNC draft, the Seychelles Sea Shells select **3B Mitch Meanmug**",,,,
Mitch Meanmug,mitch meanmug,10,11,CAR,Carolina Reapers,RC,Raccoon City Outbreak,Y,1.0,P Mitch Meanmug,2024-10-01,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign P **Mitch Meanmug**,,,,
Moob Chicago,,8,9,SUN,Sunnydale Slayers,ACP,Acadia Peregrines,Y,1.0,P Moob Chicago,2023-08-20,sign,ACP,ACP,Y,"We have been lacking here so have 1 big post to catch us up!

*Session 2 moves*
:ACP: sign 1B **Cookie Mongster**
:Valky",,,,
Morris Deratt,,1,5,LPJ,Lonestar Pumpjacks,MAL,Malibu Waverunners,Y,1.0,Morris Deratt,2020-09-22,sign,Waverunners,MAL,Y,:Waverunners:  sign **Morris Deratt**,,,,
Mr Plow,,9,10,OGO,Ogaki Oni,KC,Kansas City Kitties,Y,1.0,Mr Plow,2023-04-19,draft,Japan Weeb Kitties,KC,Y,"🇯🇵 With the 47th overall pick in the WNC draft, the Japan Weeb Kitties select **SS Mr Plow**",,,,
Mylo Grams,,1,2,ACP,Acadia Peregrines,HMH,Humongous Melonheads,N,0.526,CodyH,2019-07-23,draft,New Orleans Crawdads,,N,With the 43rd pick the New Orleans Crawdads select @CodyH,CodyH,0.526,2019-07-23,With the 43rd pick the New Orleans Crawdads select @CodyH
Narancia Ghirga,ycbear,7,8,POR,Portland Pioneers,GRZ,Ursa Major Grizzlies,Y,1.0,C Narancia Ghirga,2022-09-05,sign,Ursa Major Grizzlies,GRZ,Y,:Grizzlies: Ursa Major Grizzlies sign C **Narancia Ghirga**,,,,
Nate Duke,bigbosstone,6,7,POR,Portland Pioneers,BUF,Buffalo Bullfrogs,Y,1.0,Pitcher Nate Duke,2022-01-18,sign,Buffalo Bullfrogs,BUF,Y,:buf: Buffalo Bullfrogs sign Pitcher **Nate Duke**,,,,
Nate Lewis,,2,3,MAL,Malibu Waverunners,NO,New Orleans Crawdads,N,0.571,Jonah Levin,2020-02-23,draft,Kentucky Mashers,,N,With the 26th overall pick in the S4 Draft the Kentucky Mashers select **2B Jonah Levin**,Jonah Levin,0.571,2020-02-23,With the 26th overall pick in the S4 Draft the Kentucky Mashers select **2B Jonah Levin**
Nathanial Swenson,,11,12,ACP,Acadia Peregrines,BBEG,Baldur's Gate Beholders,Y,0.941,Nathaniel Swenson,2025-07-20,draft,Sweden Caroleans,CAR,N,":SwedenCaroleans: With the 58th overall pick in the WNC Draft, the Sweden Caroleans select **Nathaniel Swenson**",,,,
Neco Arc Enjoyer,,9,10,POR,Portland Pioneers,OGO,Ogaki Oni,Y,1.0,RF Neco Arc Enjoyer,2024-01-22,sign,Ogaki Oni,OGO,Y,:Oni: Ogaki Oni sign RF **Neco Arc Enjoyer**,,,,
Neco Arc Enjoyer,,10,11,OGO,Ogaki Oni,CAR,Carolina Reapers,Y,1.0,RF Neco Arc Enjoyer,2024-01-22,sign,Ogaki Oni,OGO,N,:Oni: Ogaki Oni sign RF **Neco Arc Enjoyer**,,,,
Nicholas Fouss,,5,6,HFX,Halifax Helmsmen,BUF,Buffalo Bullfrogs,N,0.5,Dallas Houston,2020-09-22,sign,crawdads,,N,:crawdads: sign **Dallas Houston**,Dallas Houston,0.5,2020-09-22,:crawdads: sign **Dallas Houston**
Nicholas Fouss,,6,7,BUF,Buffalo Bullfrogs,MAL,Malibu Waverunners,Y,1.0,Right Fielder Nicholas Fouss,2022-01-18,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign Right Fielder **Nicholas Fouss**,,,,
Niklas Sheely,,1,2,BFB,Blubs Bay Flappy Bois,SHH,Sleepy Hollow Horsemen,N,0.444,Master Cashier,2018-11-28,sign,The Sunnydale Slayers,,N,The Sunnydale Slayers sign Master Cashier,Master Cashier,0.444,2018-11-28,The Sunnydale Slayers sign Master Cashier
North McLean,,4,5,MAL,Malibu Waverunners,BUF,Buffalo Bullfrogs,Y,1.0,North McLean,2020-09-22,sign,Buff,BUF,Y,:Buff: sign **North McLean**,,,,
North McLean,,5,6,BUF,Buffalo Bullfrogs,MAL,Malibu Waverunners,Y,1.0,North McLean,2020-09-22,sign,Buff,BUF,N,:Buff: sign **North McLean**,,,,
Ohtani But Wide,,6,7,GHG,Gas House Gorillas,MAL,Malibu Waverunners,Y,1.0,Catcher Ohtani But Wide,2022-01-23,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign Catcher **Ohtani But Wide**,,,,
Ohtani But Wide,,7,8,MAL,Malibu Waverunners,BUF,Buffalo Bullfrogs,Y,1.0,Catcher Ohtani But Wide,2022-01-23,sign,Malibu Waverunners,MAL,N,:Waverunners: Malibu Waverunners sign Catcher **Ohtani But Wide**,,,,
Oliver Yu,alf,2,3,GHG,Gas House Gorillas,CIN,Cincinnati Longhorns,Y,1.0,Alf,2019-07-23,draft,Cincinnati Rhinos,CIN,Y,With the 35th pick the Cincinnati Rhinos select @Alf,,,,
Osha Wott,,10,12,OGO,Ogaki Oni,KC,Kansas City Kitties,Y,1.0,LF Osha Wott,2025-08-02,sign,Kansas City Kitties,KC,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Pablo Pabloson,pablo pabloson,1,7,CIN,Cincinnati Longhorns,KYM,Kentucky Mashers,Y,1.0,P Pablo Pabloson,2022-03-27,sign,Kentucky Mashers,KYM,Y,"**Transactions effective Sessions 6**

:Valkyries: Reykjavik Valkyries place RF **Barney Turbo** on hiatus

:Highlanders",,,,
Pablo Sanchez,pabs,5,6,SUN,Sunnydale Slayers,KYM,Kentucky Mashers,Y,1.0,Pabs,2021-04-28,draft,Vatican City,RLY,N,":vaticancity: With the 158th pick in the WNC draft, Vatican City selects @Pabs",,,,
Pablo Sanchez,pabs,8,9,CAR,Carolina Reapers,HFX,Halifax Helmsmen,Y,1.0,P Pablo Sanchez,2023-05-03,sign,Halifax Highlanders,HFX,Y,:Highlanders: Halifax Highlanders sign P **Pablo Sanchez**,,,,
Perry Platypus,og pepsi dealer,7,8,SUN,Sunnydale Slayers,BUF,Buffalo Bullfrogs,Y,1.0,RF Perry Platypus,2022-08-27,sign,Buffalo Bullfrogs,BUF,Y,:buffalo: Buffalo Bullfrogs sign RF **Perry Platypus**,,,,
Peter Hoomanawanui,,11,12,RLY,R'Lyeh Ancients,ACP,Acadia Peregrines,Y,1.0,CF Peter Hoomanawanui,2025-12-08,sign,ACP,ACP,Y,"Happy December, folks!


:ACP: **Copernicus Hel** steps down as Co-GM and leaves team
:ACP: **Elijah Walker** to Co-GM a",,,,
Petra Sabor,,6,7,MAL,Malibu Waverunners,BUF,Buffalo Bullfrogs,Y,1.0,Pitcher Petra Sabor,2022-01-18,sign,Buffalo Bullfrogs,BUF,Y,:bullfrogs: Buffalo Bullfrogs sign Pitcher **Petra Sabor**,,,,
Petra Sabor,,7,8,BUF,Buffalo Bullfrogs,OGO,Ogaki Oni,Y,1.0,Petra Sabor,2021-09-14,unretire,Waverunners,MAL,Y,"**Session 6 Transactions (Effective Session 7)**

:Buff: Sign **Sarah Buntingsworth** (P) & **Sandy Collazo** (P) Retire",,,,
Pokey Fleece,,10,11,SUN,Sunnydale Slayers,RC,Raccoon City Outbreak,Y,1.0,SS/UTIL Pokey Fleece,2024-10-01,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign SS/UTIL **Pokey Fleece**,,,,
Pope Coswi,,9,10,OGO,Ogaki Oni,CAR,Carolina Reapers,Y,1.0,CF Pope Coswi,2024-04-01,sign,Carolina Reapers,CAR,Y,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties re",,,,
Pope Coswi,,10,12,CAR,Carolina Reapers,MIA,Miami Fuego,Y,1.0,CF Pope Coswi,2024-04-01,sign,Miami Fuego,MIA,Y,"## Session 3 Transactions

:GHG: Gas House Gorillas **Dominus Nominus** retires as a player

:KC: Kansas City Kitties re",,,,
Q Kimbrel,,1,2,MAL,Malibu Waverunners,POR,Portland Pioneers,N,0.444,KigerWulf,2018-12-02,draft,Malibu Waverunners,,N,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf",KigerWulf,0.444,2018-12-02,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf"
Q Kimbrel,,5,6,POR,Portland Pioneers,KYM,Kentucky Mashers,Y,1.0,Q Kimbrel,2021-06-18,re_sign,Pioneers,POR,N,:Pioneers: re-sign **Q Kimbrel** (CF),,,,
Q Kimbrel,,9,10,CAR,Carolina Reapers,OGO,Ogaki Oni,Y,1.0,CF Q Kimbrel,2024-01-27,sign,Ogaki Oni,OGO,Y,:OGO: Ogaki Oni sign CF **Q Kimbrel**,,,,
Q Kimbrel,,10,11,OGO,Ogaki Oni,CAR,Carolina Reapers,Y,1.0,2B/UTIL Q Kimbrel,2024-10-01,sign,Carolina Reapers,CAR,Y,":CAR: Carolina Reapers sign 2B/UTIL **Q Kimbrel**
:CAR: Carolina Reapers sign CF **Bryce Parker**",,,,
Raffy Benitez,,7,8,MAL,Malibu Waverunners,GRZ,Ursa Major Grizzlies,Y,1.0,Raffy Benitez,2022-08-31,draft,Ursa Major Grizzlies,GRZ,Y,":Grizzlies: With the 10th overall pick in the S8 Draft, the Ursa Major Grizzlies select **1B Raffy Benitez**",,,,
Raffy Benitez,,8,9,GRZ,Ursa Major Grizzlies,NO,New Orleans Crawdads,Y,1.0,1B Raffy Benitez,2023-05-03,sign,Crawdads,NO,Y,:Crawdads: sign 1B **Raffy Benitez**,,,,
Raffy Benitez,,9,10,NO,New Orleans Crawdads,ACP,Acadia Peregrines,Y,1.0,1B/UTIL Raffy Benitez,2024-01-22,sign,Acadia Peregrines,ACP,Y,:ACP:  Acadia Peregrines sign 1B/UTIL **Raffy Benitez**,,,,
Raphael Akias,,3,4,HFX,Halifax Helmsmen,POR,Portland Pioneers,N,0.5,Crash Davis,2020-11-19,sign,McDophers,,N,:McDophers: sign **Crash Davis**,Crash Davis,0.5,2020-11-19,:McDophers: sign **Crash Davis**
Red Arrow,,3,4,ACP,Acadia Peregrines,CIN,Cincinnati Longhorns,Y,1.0,Red Arrow,2020-02-23,draft,Cincinnati Redlegs Longhorns Rhinos,CIN,Y,With the 11th overall pick in the S4 Draft the Cincinnati ~~Redlegs~~ ~~Longhorns~~ Rhinos select **P Red Arrow**,,,,
Reese Worthington,jason,6,7,HFX,Halifax Helmsmen,ASS,Aruba Sea Serpents,Y,1.0,jason,2021-04-28,draft,Cuba,CAR,N,":cuba: With pick 101 pick in the draft, Cuba selects @jason",,,,
Reese Worthington,jason,7,8,ASS,Aruba Sea Serpents,HFX,Halifax Helmsmen,Y,1.0,LF Reese Worthington,2022-08-27,sign,Halifax Highlanders,HFX,Y,:Highlanders: Halifax Highlanders sign LF **Reese Worthington**,,,,
Rekt Kiddo,,3,4,CIN,Cincinnati Longhorns,GHG,Gas House Gorillas,N,0.444,DeadRedd,2019-07-23,draft,Ursa Major Grizzlies,,N,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd",DeadRedd,0.444,2019-07-23,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd"
Release T. Kraken,release t kraken,1,5,KYM,Kentucky Mashers,BBG,Baldur's Gate Beholders,Y,1.0,Release T Kraken,2021-04-28,draft,Vatican City,RLY,N,":vaticancity: With the 155th pick in the WNC draft, Vatican City selects @Release T Kraken",,,,
Rickey Tucker,,4,5,ACP,Acadia Peregrines,GHG,Gas House Gorillas,Y,1.0,Rickey Tucker,2020-09-21,sign,Gorillas,GHG,Y,:Gorillas: sign **Rickey Tucker**,,,,
Ricky Calzone,jacobh,2,3,MAL,Malibu Waverunners,SHH,Sleepy Hollow Horsemen,Y,1.0,JacobH,2018-12-02,draft,Malibu Waverunners,MAL,N,"With the forty second pick in the Season 2 Draft, the Malibu Waverunners select @JacobH",,,,
Ricky Vaughn,,1,2,HMH,Humongous Melonheads,SUN,Sunnydale Slayers,N,0.64,JacobH,2018-12-02,draft,Malibu Waverunners,,N,"With the forty second pick in the Season 2 Draft, the Malibu Waverunners select @JacobH",JacobH,0.64,2018-12-02,"With the forty second pick in the Season 2 Draft, the Malibu Waverunners select @JacobH"
Robin Reynolds,,1,2,BFB,Blubs Bay Flappy Bois,POR,Portland Pioneers,N,0.615,Megatomic,2018-12-02,draft,Portland Pioneers,,N,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic",Megatomic,0.615,2018-12-02,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic"
Robin Reynolds,,2,3,POR,Portland Pioneers,GRZ,Ursa Major Grizzlies,N,0.615,Megatomic,2018-12-02,draft,Portland Pioneers,,N,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic",Megatomic,0.615,2018-12-02,"With the thirty sixth pick in the Season 2 Draft, the Portland Pioneers select @Megatomic"
Roidy Magoo,na bonobo,6,7,ASS,Aruba Sea Serpents,BFB,Blubs Bay Flappy Bois,N,0.526,Redwagon,2021-04-28,draft,Ivory Coast,,N,":ivorycoast: With the 135th pick in the WNC draft, Ivory Coast selects @Redwagon",Redwagon,0.526,2021-04-28,":ivorycoast: With the 135th pick in the WNC draft, Ivory Coast selects @Redwagon"
Ronald Eagle V,,1,2,CIN,Cincinnati Longhorns,BFB,Blubs Bay Flappy Bois,N,0.511,"the K leader himself, Ronald Eagle",2018-11-28,re_sign,The Cincinnati Redlegs,,N,"The Cincinnati Redlegs re-sign the K leader himself, Ronald Eagle","the K leader himself, Ronald Eagle",0.511,2018-11-28,"The Cincinnati Redlegs re-sign the K leader himself, Ronald Eagle"
Rotticus Scott Jr.,,3,4,HFX,Halifax Helmsmen,HMH,Humongous Melonheads,N,0.438,Leonidas States,2020-02-23,draft,Baldur's Gate Beholders,,N,With the 7th overall pick in the S4 Draft the Baldur's Gate Beholders select **1B Leonidas States**,Leonidas States,0.438,2020-02-23,With the 7th overall pick in the S4 Draft the Baldur's Gate Beholders select **1B Leonidas States**
Rub A. Chikin,acash,5,6,POR,Portland Pioneers,HMH,Humongous Melonheads,Y,1.0,acash,2021-04-28,draft,San Marino,GRZ,N,":sanmarino: With the 33rd overall pick in the WNC draft, San Marino selects @acash",,,,
Rusty LaRue,,1,2,HMH,Humongous Melonheads,SHH,Sleepy Hollow Horsemen,N,0.636,"rusty ""champion"" nails",2019-07-23,draft,Halifax Helmsmen,,N,"With the 12th pick in the season 3 draft, the Halifax Helmsmen select @rusty ""champion"" nails","rusty ""champion"" nails",0.636,2019-07-23,"With the 12th pick in the season 3 draft, the Halifax Helmsmen select @rusty ""champion"" nails"
Rusty LaRue,,3,6,SHH,Sleepy Hollow Horsemen,JAM,JAM,N,0.636,Rusty Nails,2020-09-21,sign,Gorillas,,N,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",Rusty Nails,0.636,2020-09-21,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**"
Rusty LaRue,,6,7,JAM,JAM,HFX,Halifax Helmsmen,Y,1.0,Pitcher Rusty LaRue,2022-01-22,sign,Halifax Highlanders,HFX,Y,:halifax: Halifax Highlanders sign Pitcher **Rusty LaRue**,,,,
Rusty Nails,"rusty ""champion"" nails",4,5,HFX,Halifax Helmsmen,GHG,Gas House Gorillas,Y,1.0,Rusty Nails,2020-09-21,sign,Gorillas,GHG,Y,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",,,,
Rusty Nails,"rusty ""champion"" nails",5,6,GHG,Gas House Gorillas,BFB,Blubs Bay Flappy Bois,Y,1.0,"rusty ""champion"" nails",2021-04-28,draft,United Kingdom,MIA,Y,":brexhits: With the 118th pick in the WNC draft, The United Kingdom selects @rusty ""champion"" nails",,,,
Rusty Nails,"rusty ""champion"" nails",6,7,BFB,Blubs Bay Flappy Bois,HFX,Halifax Helmsmen,Y,1.0,"rusty ""champion"" nails",2021-04-28,draft,United Kingdom,MIA,N,":brexhits: With the 118th pick in the WNC draft, The United Kingdom selects @rusty ""champion"" nails",,,,
Rusty Nails,"rusty ""champion"" nails",7,8,HFX,Halifax Helmsmen,BFB,Blubs Bay Flappy Bois,N,0.636,Pitcher Rusty LaRue,2022-01-22,sign,Halifax Highlanders,,N,:halifax: Halifax Highlanders sign Pitcher **Rusty LaRue**,Pitcher Rusty LaRue,0.636,2022-01-22,:halifax: Halifax Highlanders sign Pitcher **Rusty LaRue**
