date,season,session,type,team,player,position,trade_partner,assets_sent,assets_received,notes,raw_message,needs_review
2020-09-21,5,,sign,Rhinos,Harry Peritestes,,,,,,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign **Dylan Green**
:Melonhead:  sign **Haraldo ""Mack"" MacKenzie**
:FlappyBois:  sign **Baron Samedi**",
2020-09-21,5,,sign,McDophers,Thomas Nova,,,,,,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign **Dylan Green**
:Melonhead:  sign **Haraldo ""Mack"" MacKenzie**
:FlappyBois:  sign **Baron Samedi**",
2020-09-21,5,,sign,Helmsmen,Dylan Green,,,,,,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign **Dylan Green**
:Melonhead:  sign **Haraldo ""Mack"" MacKenzie**
:FlappyBois:  sign **Baron Samedi**",
2020-09-21,5,,sign,Melonhead,"Haraldo ""Mack"" MacKenzie",,,,,,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign **Dylan Green**
:Melonhead:  sign **Haraldo ""Mack"" MacKenzie**
:FlappyBois:  sign **Baron Samedi**",
2020-09-21,5,,sign,FlappyBois,Baron Samedi,,,,,,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign **Dylan Green**
:Melonhead:  sign **Haraldo ""Mack"" MacKenzie**
:FlappyBois:  sign **Baron Samedi**",
2020-09-21,5,,sign,slayerscrown,Juniped Catfish,,,,,,:slayerscrown: sign **Juniped Catfish**,
2020-09-21,5,,sign,otters,Joey Wheeler,,,,,,:otters: sign **Joey Wheeler**,
2020-09-21,5,,sign,Mashers,Thor Odinnson,,,,,,:Mashers: sign **Thor Odinnson**,
2020-09-21,5,,sign,grizzlies,"Geno ""The Mooch"" Scaramucci",,,,,,":grizzlies: sign **Geno ""The Mooch"" Scaramucci**",
2020-09-21,5,,sign,crawdads,Bobby Portis,,,,,,:crawdads: sign **Bobby Portis**,
2020-09-21,5,,sign,Peregrines,"Jimjon ""QJ"" Jonjim",,,,,,":Peregrines: sign **Jimjon ""QJ"" Jonjim**",
2020-09-21,5,,sign,Gorillas,Rickey Tucker,,,,,,:Gorillas: sign **Rickey Tucker**,
2020-09-21,5,,sign,Buff,Loghan O'Brien,,,,,,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",
2020-09-21,5,,sign,Gorillas,Rusty Nails,,,,,,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",
2020-09-21,5,,sign,Waverunners,Clive Babineaux,,,,,,":Buff: sign **Loghan O'Brien**
:Gorillas: sign **Rusty Nails**
:Waverunners: sign **Clive Babineaux**",
2020-09-21,5,,sign,Pioneers,JZ,,,,,,:Pioneers: sign **JZ**,
2020-09-21,5,,sign,Rhinos,Bobby Vance,,,,,,:Rhinos: sign **Bobby Vance**,
2020-09-22,5,,sign,Buff,Slow Low,,,,,,:Buff: sign **Slow Low**,
2020-09-22,5,,sign,FlappyBois,Henrik Omega,,,,,,:FlappyBois: sign **Henrik Omega**,
2020-09-22,5,,sign,crawdads,Dallas Houston,,,,,,:crawdads: sign **Dallas Houston**,
2020-09-22,5,,sign,Waverunners,Morris Deratt,,,,,,:Waverunners:  sign **Morris Deratt**,
2020-09-22,5,,sign,otters,Superbone Threefinger,,,,,,:otters: sign **Superbone Threefinger**,
2020-09-22,5,,sign,Buff,North McLean,,,,,,:Buff: sign **North McLean**,
2020-09-23,5,,sign,FlappyBois,Kali McSuntas,,,,,,:FlappyBois: sign **Kali McSuntas**,
2020-09-23,5,,sign,Rhinos,Brandon Blade,,,,,,:Rhinos: sign **Brandon Blade**,
2020-09-23,5,,sign,Helmsmen,Berna Pozo,,,,,,:Helmsmen: sign **Berna Pozo**,
2020-09-24,5,,trade,Rhinos CIN,,,FlappyBois BBFB,Season 5 First Overall Pick,"Jeff Dingerhitter (RF), Season 5 Second Overall Pick, and Future Considerations",,":Rhinos: **CIN** receive **Jeff Dingerhitter** (RF), **Season 5 Second Overall Pick**, and **Future Considerations**

:FlappyBois: **BBFB** receives **Season 5 First Overall Pick**",
2020-09-24,5,,trade,FlappyBois BBFB,,,Rhinos CIN,"Jeff Dingerhitter (RF), Season 5 Second Overall Pick, and Future Considerations",Season 5 First Overall Pick,,":Rhinos: **CIN** receive **Jeff Dingerhitter** (RF), **Season 5 Second Overall Pick**, and **Future Considerations**

:FlappyBois: **BBFB** receives **Season 5 First Overall Pick**",
2020-09-26,5,,re_sign,Melonhead,Dmitri Petrovich,,,,,,:Melonhead: re-sign **Dmitri Petrovich**,
2020-09-26,5,,sign,otters,Fuzzy Dunlop,,,,,,:otters: sign **Fuzzy Dunlop**,
2020-09-26,5,,sign,Buffalo,Leon Sandcastle,,,,,,:Buffalo:  sign **Leon Sandcastle**,
2020-09-26,5,,sign,slayerscrown,Cal Lidous,,,,,,:slayerscrown: sign **Cal Lidous**,
2020-09-26,5,,sign,Ballatrix2,Tony Stark,,,,,,:Ballatrix2:  sign **Tony Stark**,
2020-09-26,5,,draft,Blubs Bay Flappy Bois,Ben Bramly,,,,,Pick 1 | MLN S5,"With the 1st overall pick in the S5 Draft, the Blubs Bay Flappy Bois select @Ben Bramly",
2020-09-26,5,,draft,Cincinnati Rhinos,MoJungo,,,,,Pick 2 | MLN S5,"With the 2nd overall pick in the S5 Draft, the Cincinnati Rhinos select @MoJungo",
2020-09-26,5,,draft,Malibu Waverunners,Pieter Sanchez Pieterjan,,,,,Pick 3 | MLN S5,"With the 3rd overall pick in the S5 Draft, the Malibu Waverunners select Pieter Sanchez @Pieterjan",
2020-09-26,5,,draft,Portland Pioneers,allomanticpush,,,,,Pick 4 | MLN S5,"With the 4th overall pick in the S5 Draft, the Portland Pioneers select @allomanticpush",
2020-09-26,5,,draft,Acadia Peregrines,soyrman,,,,,Pick 5 | MLN S5,"With the 5th overall pick in the S5 Draft, the Acadia Peregrines select @soyrman",
2020-09-26,5,,draft,New Orleans Crawdads,Side Eye Master,,,,,Pick 6 | MLN S5,"With the 6th overall pick in the S5 Draft, the New Orleans Crawdads select @Side Eye Master",
2020-09-26,5,,draft,Baldur's Gate Beholders,a Blood Feud with New Orleans (Pick Skipped),,,,,Pick 7 | MLN S5,"With the 7th overall pick in the S5 Draft, the Baldur's Gate Beholders select a Blood Feud with New Orleans (Pick Skipped)",
2020-09-26,5,,draft,Halifax Helmsmen,whitt is my best friend,,,,,Pick None | MLN S5,"With the Actual 7th overall pick in the S5 Draft, the Halifax Helmsmen select @whitt is my best friend",
2020-09-26,5,,draft,Acadia Peregrines,Ryan Gasting,,,,,Pick 8 | MLN S5,"With the 8th overall pick in the S5 Draft, the Acadia Peregrines select @Ryan Gasting",
2020-09-26,5,,draft,Portland Pioneers,Hi_mynameis_Matt,,,,,Pick 9 | MLN S5,"With the 9th overall pick in the S5 Draft, the Portland Pioneers select @Hi_mynameis_Matt",
2020-09-26,5,,draft,Humongous Melonheads,ANYTHING IS POSSIBLEEEEEE,,,,,Pick 10 | MLN S5,"With the 10th overall pick in the S5 Draft, the Humongous Melonheads select @ANYTHING IS POSSIBLEEEEEE",
2020-09-26,5,,draft,Portland Pioneers,Larold (Fake Larry!),,,,,Pick 11 | MLN S5,"With the 11th overall pick in the S5 Draft, the Portland Pioneers select @Larold  (Fake Larry!)",
2020-09-26,5,,draft,Acadia Peregrines,door_nav,,,,,Pick 12 | MLN S5,"With the 12th overall pick in the S5 Draft, the Acadia Peregrines select @door_nav",
2020-09-26,5,,draft,Ursa Major Grizzlies,"Somehow, PalBeeTine Returned",,,,,Pick 13 | MLN S5,"With the 13th overall pick in the S5 Draft, the Ursa Major Grizzlies select @Somehow, PalBeeTine Returned",
2020-09-26,5,,draft,Blubs Bay Flappy Bois,P. McDonough,,,,,Pick 14 | MLN S5,"With the 14th overall pick in the S5 Draft, the Blubs Bay Flappy Bois select @P. McDonough",
2020-09-26,5,,draft,Gas House Gorillas,Gas House Gorillas,,,,,Pick 15 | MLN S5,"With the 15th overall pick in the S5 Draft, the Gas House Gorillas select @Gas House Gorillas",
2020-09-26,5,,draft,Portland Pioneers,YCBear,,,,,Pick 16 | MLN S5,"With the 16th overall pick in the S5 Draft, the Portland Pioneers select @YCBear",
2020-09-26,5,,draft,Humongous Melonheads,Holland Oats jimmiboi,,,,,Pick 17 | MLN S5,"With the 17th overall pick in the S5 Draft, the Humongous Melonheads select Holland Oats @jimmiboi",
2020-09-26,5,,draft,Cincinnati Rhinos,Pedro Cerrano-Spaz,,,,,Pick 18 | MLN S5,"With the 18th overall pick in the S5 Draft, the Cincinnati Rhinos select @Pedro Cerrano-Spaz",
2020-09-26,5,,draft,,,,,,,Draft message not parsed | MLN,"With the 19th overall pick in the S5 Draft, the Malibu Waverunners Connor Morgan @BigVolDaddy",Y
2020-09-26,5,,draft,Portland Pioneers,Mike Fruitstand,,,,,Pick 20 | MLN S5,"With the 20th overall pick in the S5 Draft, the Portland Pioneers select @Mike Fruitstand",
2020-09-26,5,,draft,Kentucky Mashers,Truck Month,,,,,Pick 21 | MLN S5,"With the 21st overall pick in the S5 Draft, the Kentucky Mashers select @Truck Month",
2020-09-28,5,,sign,Waverunners,Dom Emnic,,,,,,:Waverunners: sign **Dom Emnic**,
2020-10-07,5,1,sign,Gorillas,LHP John Smith,,,,,,"**Session 1 Transactions (Effective Session 2)**

:Gorillas: sign **LHP John Smith**",
2020-10-26,6,2,trade,Mashers,,,Buff,KYM's top 3 protected Season 6 1st round pick (becomes 2nd round pick if KYM picks in the top 3),Icna Comit,,"**Session 2 Transactions (Effective Session 3)**
:Mashers: Receives:
**Icna Comit**
 
:Buff: Receives:
KYM's top 3 protected Season 6 1st round pick (becomes 2nd round pick if KYM picks in the top 3)",
2020-10-26,6,2,trade,Buff,,,Mashers,Icna Comit,KYM's top 3 protected Season 6 1st round pick (becomes 2nd round pick if KYM picks in the top 3),,"**Session 2 Transactions (Effective Session 3)**
:Mashers: Receives:
**Icna Comit**
 
:Buff: Receives:
KYM's top 3 protected Season 6 1st round pick (becomes 2nd round pick if KYM picks in the top 3)",
2020-10-26,5,,release,Mashers,CF Truck Month,,,,,,:Mashers: Release **CF Truck Month**,
2020-11-18,5,4,retirement,otters,Art Vulfmon,,,,,,"**Session 4 Transactions (Effective Session 5)**

:otters: **Art Vulfmon** Retires & Sign **Finn Hudson**

:pioneers: **Gus Buster** to Hiatus & Sign **Simba Martinez II**

:Waverunners:  **Petra** Retires & Sign **Matthew Paul**

:Buffalo:  **Barney Turbo** Retires & Sign **Doc Crudelly**

:McDophers: ~~Release~~ **Madis Mickelson** to Hiatus",
2020-11-18,5,4,sign,Gus Buster to Hiatus &,Simba Martinez II,,,,,,"**Session 4 Transactions (Effective Session 5)**

:otters: **Art Vulfmon** Retires & Sign **Finn Hudson**

:pioneers: **Gus Buster** to Hiatus & Sign **Simba Martinez II**

:Waverunners:  **Petra** Retires & Sign **Matthew Paul**

:Buffalo:  **Barney Turbo** Retires & Sign **Doc Crudelly**

:McDophers: ~~Release~~ **Madis Mickelson** to Hiatus",
2020-11-18,5,4,retirement,Waverunners,Petra,,,,,,"**Session 4 Transactions (Effective Session 5)**

:otters: **Art Vulfmon** Retires & Sign **Finn Hudson**

:pioneers: **Gus Buster** to Hiatus & Sign **Simba Martinez II**

:Waverunners:  **Petra** Retires & Sign **Matthew Paul**

:Buffalo:  **Barney Turbo** Retires & Sign **Doc Crudelly**

:McDophers: ~~Release~~ **Madis Mickelson** to Hiatus",
2020-11-18,5,4,retirement,Buffalo,Barney Turbo,,,,,,"**Session 4 Transactions (Effective Session 5)**

:otters: **Art Vulfmon** Retires & Sign **Finn Hudson**

:pioneers: **Gus Buster** to Hiatus & Sign **Simba Martinez II**

:Waverunners:  **Petra** Retires & Sign **Matthew Paul**

:Buffalo:  **Barney Turbo** Retires & Sign **Doc Crudelly**

:McDophers: ~~Release~~ **Madis Mickelson** to Hiatus",
2020-11-18,5,4,hiatus,McDophers,McDophers Release Madis Mickelson to,,,,,,"**Session 4 Transactions (Effective Session 5)**

:otters: **Art Vulfmon** Retires & Sign **Finn Hudson**

:pioneers: **Gus Buster** to Hiatus & Sign **Simba Martinez II**

:Waverunners:  **Petra** Retires & Sign **Matthew Paul**

:Buffalo:  **Barney Turbo** Retires & Sign **Doc Crudelly**

:McDophers: ~~Release~~ **Madis Mickelson** to Hiatus",
2020-11-19,5,,sign,McDophers,Crash Davis,,,,,,:McDophers: sign **Crash Davis**,
2020-11-19,5,,retirement,ass,Demetrios Ooga,,,,,,:ass: **Demetrios Ooga** Retires & Sign **Dirk Digglet**,
2020-12-07,6,5,retirement,pioneers,Gus Buster,,,,,,"**Session 5 Transactions (Effective Session 6)** 

:Gorillas: **Cap Keeler** ~~on Hiatus~~ JUST KIDDING! 

:pioneers:  **Gus Buster** Retires

:crawdads: **Nate Lewis** Switches from P to 3B/UTIL

:slayers: **Ferda Bois** on Hiatus

:FlappyBois:  ~~DFA The Gas House Gorillas~~",
2020-12-07,6,5,position_switch,crawdads,Nate Lewis,3B/UTIL,,,,,"**Session 5 Transactions (Effective Session 6)** 

:Gorillas: **Cap Keeler** ~~on Hiatus~~ JUST KIDDING! 

:pioneers:  **Gus Buster** Retires

:crawdads: **Nate Lewis** Switches from P to 3B/UTIL

:slayers: **Ferda Bois** on Hiatus

:FlappyBois:  ~~DFA The Gas House Gorillas~~",
2020-12-07,6,5,hiatus,slayers,Ferda Bois,,,,,,"**Session 5 Transactions (Effective Session 6)** 

:Gorillas: **Cap Keeler** ~~on Hiatus~~ JUST KIDDING! 

:pioneers:  **Gus Buster** Retires

:crawdads: **Nate Lewis** Switches from P to 3B/UTIL

:slayers: **Ferda Bois** on Hiatus

:FlappyBois:  ~~DFA The Gas House Gorillas~~",
2020-12-07,6,5,release,FlappyBois,The Gas House Gorillas,,,,,,"**Session 5 Transactions (Effective Session 6)** 

:Gorillas: **Cap Keeler** ~~on Hiatus~~ JUST KIDDING! 

:pioneers:  **Gus Buster** Retires

:crawdads: **Nate Lewis** Switches from P to 3B/UTIL

:slayers: **Ferda Bois** on Hiatus

:FlappyBois:  ~~DFA The Gas House Gorillas~~",
2020-12-14,6,6,trade,FlappyBois,,,Waverunners,KC Batsfrom Blubs Bay,2nd Round Draft Pick from Malibu,,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",
2020-12-14,6,6,trade,Waverunners,,,FlappyBois,2nd Round Draft Pick from Malibu,KC Batsfrom Blubs Bay,,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",
2020-12-14,6,6,trade,FlappyBois,,,,,Ferda Bois from Sunnydale,3-way trade - verify assets manually,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",Y
2020-12-14,6,6,trade,Waverunners,,,,,Isaac Saffron from Blubs Bay,3-way trade - verify assets manually,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",Y
2020-12-14,6,6,trade,slayers,,,,,1st Round Draft Pick from Malibu,3-way trade - verify assets manually,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",Y
2020-12-14,6,6,retirement,Waverunners,Boof Boog,,,,,,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",
2020-12-14,6,6,sign,FlappyBois,J.J Guemes as a Right Fielder,,,,,,"**Session 6 Transactions (Effective Session 7)**

*Takes deep breathe while cursing Malibu & Blubs Bay for all this work*

:Waverunners: **Boof Boog** Retires

:Waverunners: **Wild Legs Wilkerson** DFA'ed

:FlappyBois: Receive: **2nd Round Draft Pick** from Malibu
:Waverunners: Receive: **KC Bats**from Blubs Bay

:FlappyBois: Receive: **Ferda Bois** from Sunnydale 
:Waverunners: Receive: **Isaac Saffron** from Blubs Bay 
:slayers: Receive: **1st Round Draft Pick** from Malibu

:FlappyBois: Sign **J.J Guemes** as a Right Fielder",
2020-12-15,6,,release,Waverunners,Clive Babineaux,,,,,,"Oh there's more..

:Waverunners: Release **Clive Babineaux** & Sign **Kev Biffington**

:ass: Release **Brandon Blade** & Sign **Haloick Oasis**",
2020-12-15,6,,release,ass,Brandon Blade,,,,,,"Oh there's more..

:Waverunners: Release **Clive Babineaux** & Sign **Kev Biffington**

:ass: Release **Brandon Blade** & Sign **Haloick Oasis**",
2020-12-29,6,7,release,MASH,Ben Grimm,,,,,,"**Session 7 Transactions (Effective Session 8)**

:MASH: Release **Ben Grimm** & Sign **Sander Entman**",
2020-12-29,6,,sign,slayers,Doc Wingduck,,,,,,:slayers: Sign **Doc Wingduck**,
2021-01-01,6,,sign,FlappyBois,Joe Runzer,,,,,,:FlappyBois: Sign **Joe Runzer**,
2021-01-12,6,8,trade,ass,,,FlappyBois,ass 2nd Round Pick,P Cali Guerensk,,"**Session 8 Transactions (Effective Session 9)**

:ass: Receive: P Cali Guerensk
:FlappyBois:  Receive: :ass: 2nd Round Pick

:ass:  Release **LaPrince Frye**",
2021-01-12,6,8,trade,FlappyBois,,,ass,P Cali Guerensk,ass 2nd Round Pick,,"**Session 8 Transactions (Effective Session 9)**

:ass: Receive: P Cali Guerensk
:FlappyBois:  Receive: :ass: 2nd Round Pick

:ass:  Release **LaPrince Frye**",
2021-01-12,6,8,release,ass,LaPrince Frye,,,,,,"**Session 8 Transactions (Effective Session 9)**

:ass: Receive: P Cali Guerensk
:FlappyBois:  Receive: :ass: 2nd Round Pick

:ass:  Release **LaPrince Frye**",
2021-01-20,6,9,hiatus,Gorillas,Cap Keeler,,,,,,"**Session 9 Transactions (Effective Session 10)**

:Gorillas: **Cap Keeler** on Hiatus

:Waverunners:  **Tactical Panda** on Hiatus & Sign **Artie Ziff**

:crawdads: Sign **Thackery Pounce**",
2021-01-20,6,9,sign,Tactical Panda on Hiatus &,Artie Ziff,,,,,,"**Session 9 Transactions (Effective Session 10)**

:Gorillas: **Cap Keeler** on Hiatus

:Waverunners:  **Tactical Panda** on Hiatus & Sign **Artie Ziff**

:crawdads: Sign **Thackery Pounce**",
2021-01-20,6,9,sign,crawdads,Thackery Pounce,,,,,,"**Session 9 Transactions (Effective Session 10)**

:Gorillas: **Cap Keeler** on Hiatus

:Waverunners:  **Tactical Panda** on Hiatus & Sign **Artie Ziff**

:crawdads: Sign **Thackery Pounce**",
2021-02-02,6,10,trade,pioneers,,,crawdads,POR 2nd Round Pick,Willie Mays Hays,,"**Session 10 Transactions (Effective Session 11)**

:pioneers:  Receive: Willie Mays Hays
:crawdads: Receive POR 2nd Round Pick

:pioneers: **Raphael Akias** on Hiatus

:ass:  Sign **Roidy Magoo** & Release **Drew Ekstrum**

:Ballatrix: Receive: Gargle Nutz & SUN 1st Round Pick
:oslo:  Receive: Didja Naylor & MAL 1st Round Pick (From SUN)
:slayers: Receive: Superbone Threefinger & BBG 1st Round Pick",
